step,inference
animals / living things depend on water & a human is a kind of animal,humans depend on water
water is a kind of natural resource from an environment & humans depend on water,water is a kind of natural resource from the environment that humans depend on
pumping is a kind of method for transporting water & a well is a vehicle for removing water from an aquifer,pumping from wells is a kind of method for removing water from aquifers
pumping from wells is a kind of method for removing water from aquifers & if too much water is removed from a location then the water may become used up,if too much water is pumped from a well then the water in that aquifer may become used up
if too much water is pumped from a well then the water in that aquifer may become used up & excessive means too much in quantity,excessive pumping from wells may cause the water in that aquifer to become used up
"water is in the solid state , called ice , for temperatures between 0 / -459 / -273 and 273 / 32 / 0 k / f / c & a glacier is made of ice",a glacier is made of water in a solid state
"oceans contain liquid water & water is in the liquid state , called liquid water , for temperatures between 273 / 32 / 0 and 373 / 212 / 100 k / f / c",oceans contain water in a liquid state
a glacier is made of water in a solid state & oceans contain water in a liquid state,a glacier is made of water in a solid state and an ocean contains water in a liquid state
a glacier is made of water in a solid state and an ocean contains water in a liquid state & a state of something is a form of something,a glacier is made of water in a solid form and an ocean contains water in a liquid form
"irrigation causes water levels to decrease & as the amount of water in a body of water decreases , the water levels will decrease",irrigation causes the amount of water in a body of water to decrease
irrigation causes the amount of water in a body of water to decrease & a lake is a kind of body of water,irrigation can cause the amount of water in a lake to decrease
the volume of a substance describes the amount of that substance & matter is a kind of substance,the volume of matter describes the amount of that matter
the volume of matter describes the amount of that matter & volume is a property of matter,volume is a property of matter that describes the amount of that matter
a body of water contains water & a lake is a kind of body of water,a lake contains water
a lake contains water & water is a kind of matter,water in a lake is a kind of matter
volume is a property of matter that describes the amount of that matter & water in a lake is a kind of matter,the volume of a lake describes the amount of water in that lake
irrigation can cause the amount of water in a lake to decrease & the volume of a lake describes the amount of water in that lake,irrigation can cause the volume of a lake to decrease
"living thing is a kind of organism & as a population of organisms increases , the resources used by those organisms will decrease","as a population of living things increases, the resources used by those living things will decrease"
"as a population of living things increases, the resources used by those living things will decrease & living things require water for survival & water is a kind of natural resource","as a population of living things increases, the water used by those living things will decrease"
"as a population of living things increases, the water used by those living things will decrease & if the amount of something decreases then that something might be depleted",as a population of a living thing increases the water used by those living things might be depleted
a desert environment is low in availability of water / availability of food & if a resource is low in availability then it is more likely to be depleted,water is more likely to be depleted in a desert environment
as a population of a living thing increases the water used by those living things might be depleted & water is more likely to be depleted in a desert environment,increased populations are likely to cause water to be depleted in a desert environment
an example of managing the use of something is using less of that something & resources must be managed,an example of managing the use of a resource is useing less of that resource
an example of managing the use of a resource is useing less of that resource & water is a kind of natural resource,an example of managing the use of water is using less water
an example of managing the use of water is using less water & an example of using less water is turning off the faucet when brushing teeth,an example of managing the use of water is turning off the faucet when brushing teeth
if a resource is not replaced then the resource has low availability & groundwater is a nonrenewable resource,if groundwater if not replaced then groundwater will have low availability
ground water is a kind of water & a desert environment is low in availability of water / availability of food,a desert environment is low in availability of groundwater
if groundwater if not replaced then groundwater will have low availability & a desert environment is low in availability of groundwater,if groundwater is not replaced in an environment then that environment will become a desert
groundwater is a kind of water & groundwater is located under ground / underground,groundwater is a kind of water that is located underground
if groundwater is not replaced in an environment then that environment will become a desert & groundwater is a kind of water that is located underground,if water from underground is not replaced in an environment then that environment will become a desert
glaciers are a kind of major reservoir & a water reservoir stores water,glaciers are a kind of water reservoir
glaciers are a kind of water reservoir & glaciers are a source of freshwater,glaciers are a kind of freshwater reservoir
glaciers are a kind of freshwater reservoir & antarctic polar ice contains glaciers,antarctic polar ice is a kind of freshwater reservoir
a rainforest is a kind of forest & cutting down trees in a forest causes the number of trees to decrease in that forest,cutting down trees in a rainforest causes the number of trees to decrease in that rainforest
cutting down trees in a rainforest causes the number of trees to decrease in that rainforest & a decrease of something is a kind of change,cutting down trees in a  rainforest changes that rainforest
rainforests contain many species0 & a rainforest is a kind of forest,a rain forest is a kind of environment
cutting down trees in a  rainforest changes that rainforest & a rain forest is a kind of environment & humans changing an environment sometimes causes that environment to be destroyed,humans cutting down trees in a rainforest can cause that rainforest to be destroyed
humans cutting down trees in a rainforest can cause that rainforest to be destroyed & rainforests contain many species1,humans cutting down trees in a rainforest causes harm to that rainforest
humans cutting down trees in a rainforest causes harm to that rainforest & harming an environment causes harm to the living things / to the organisms in that environment,humans cutting down trees in a rainforest causes harm to the organisms in that rainforest
rainforests contain many species & species means a group of a certain kind of organism,rainforests contain many kinds of organisms
humans cutting down trees in a rainforest causes harm to the organisms in that rainforest & rainforests contain many kinds of organisms,humans cutting down trees in a rainforest causes harm to many kinds of organisms
humans cutting down trees in a rainforest causes harm to many kinds of organisms & organisms are a part of an environment,humans cutting down trees in a rainforest causes harm to much of the environment
humans cutting down trees in a rainforest causes harm to much of the environment & to cut down a rainforest means to cut down trees in a rainforest,humans cutting down a rainforest causes harm to much of the environment
cutting down trees has a negative impact on an ecosystem / organisms living in an ecosystem & logging is when humans cut down trees / forests for wood,logging has a negative impact on the ecosystem
logging has a negative impact on the ecosystem & surface mining has a negative impact on the lithosphere / the biosphere / the ecosystem,surface mining and logging have negative impacts on the ecosystem
killing means harming something causing death & harming an animal species has a negative impact on the population size of that species,killing an animal has a negative impact on that animal's population
killing an animal has a negative impact on that animal's population & cutting down trees has a negative impact on an ecosystem / organisms living in an ecosystem0,hunting has a negative impact on animal populations
an animal is a kind of organism & organisms are a part of an environment,animals are a part of the environment
animals are a part of the environment & ecosystem can mean environment,animals are a part of the ecosystem
hunting has a negative impact on animal populations & animals are a part of the ecosystem,hunting has a negative impact on the ecosystem
surface mining and logging have negative impacts on the ecosystem & hunting has a negative impact on the ecosystem,surface mining and logging and hunting have negative impacts on the ecosystem
surface mining and logging and hunting have negative impacts on the ecosystem & cutting down trees has a negative impact on an ecosystem / organisms living in an ecosystem1,limiting mining and logging and hunting has a positive impact on the ecosystem
limiting mining and logging and hunting has a positive impact on the ecosystem & national parks limit mining / logging / hunting,national parks have a positive impact on the ecosystem by limiting mining and logging and hunting
eating food that contains pesticides can have a negative impact on the health of an animal & a crop is a kind of food,eating crops that contain pesticides can have a negative impact on the health of an animal
eating crops that contain pesticides can have a negative impact on the health of an animal & a human is a kind of animal,eating crops that contain pesticides can have a negative impact on the health of a human
sexual reproduction produces offspring with genetic material from both parents & a crop of corn plants is genetically modified to produce a natural pesticide & corn plants reproduce through sexual reproduction,sexual reproduction between genetically modified corn plants produces offspring with genetic material that produces a natural pesticide
if something required for a process is not produced then that process is prevented from occurring / cannot occur & reproduction of the plants often requires pollen,if pollen is not produced then plant reproduction is prevented from occuring
if pollen is not produced then plant reproduction is prevented from occuring & corn is a kind of plant,"if the corn does not produce pollen, then the corn reproduction is prevented from occuring"
"sexual reproduction between genetically modified corn plants produces offspring with genetic material that produces a natural pesticide & if the corn does not produce pollen, then the corn reproduction is prevented from occuring",if pollen is not produced then genetically modified corn plants will be prevented from producing offspring with their genetic material
feeders attract animals to a location & a road is a kind of location,feeders by a road may attract animals to a road
feeders by a road may attract animals to a road & attracting something to a location causes that something to be near that location & a road is a kind of location,feeders by a road may cause animals to be near a road
feeders by a road may cause animals to be near a road & if an animal is near a road then that animal might be killed by a car,feeders by a road may cause animals to be killed by a car
a deer is a kind of animal0 & killing means harming something causing death,killing something has a negative effect on that something
protecting a living thing has a positive impact on that living thing 's survival / health & negative impact is the opposite of positive impact,if something has a negative impact on a living thing then that something is not protecting that living thing
killing something has a negative effect on that something & if something has a negative impact on a living thing then that something is not protecting that living thing,if something kills a living thing then that something is not protecting that living thing
if something kills a living thing then that something is not protecting that living thing & an animal is a kind of living thing,if something kills an animal then that something is not protecting that animal
feeders by a road may cause animals to be killed by a car & if something kills an animal then that something is not protecting that animal,feeders by a road do not protect animals
feeders by a road do not protect animals & a deer is a kind of animal,feeders by a road do not protect deer
plankton live in bodies of water & a bay is a kind of body of water,some plankton live in bays
some plankton live in bays & a factory dumped mercury into a bay,mercury is dumped into a bay with plankton
mercury is dumped into a bay with plankton & microorganisms change mercury in a bay into a form that plankton can use,mercury is changed into a form that plankton can use in a bay with plankton
an element is a kind of material & mercury is a kind of element,mercury is a kind of material
in the food chain process some types of plankton have the role of producer & producers pass materials they use through the food chain,plankton pass materials they use through the food chain
mercury is changed into a form that plankton can use in a bay with plankton & mercury is a kind of material & plankton pass materials they use through the food chain,mercury is passed through the food chain
a plant is a kind of organism & crops are a kind of edible plant for eating,a crop is a kind of organism
a organisms require water for survival / to grow & water is a kind of natural resource,water is a kind of natural resource that organisms require to survive
"water is a kind of natural resource that organisms require to survive & when available resources decrease in an environment , organisms have to conserve those resources","when water decreases in an environment, organisms have to conserve water to survive"
"when water decreases in an environment, organisms have to conserve water to survive & drought is when available water decreases in an environment",organisms have to conserve water to survive in a drought
a crop is a kind of organism & organisms have to conserve water to survive in a drought & if a crop requires less water then that crop will survive in a drought,crops that survive in droughts can conserve water
crops that survive in droughts can conserve water & planting crops is a kind of activity,planting crops that survive in droughts is a kind of activity that conserves water
"a light bulb is a kind of tool for seeing in the dark & as the time a tool lasts increases , the number of tools discarded will decrease","as the time a lightbulb lasts increases, the number of lightbulbs discarded will decrease"
to dispose of something can mean to discard something & humans move waste to a landfill for disposal / storage,humans discard waste in a landfill
humans discard waste in a landfill & landfills have a negative impact on the environment,humans discarding waste in a landfill has a negative impact on the environment
humans discarding waste in a landfill has a negative impact on the environment & a light bulb is a kind of tool for seeing in the dark0,humans discarding objects in a landfill has a negative impact on the environment
humans discarding objects in a landfill has a negative impact on the environment & decreasing something negative has a positive impact on a thing,decreasing the number of objects discarded in landfills by humans has a positive impact on the environment
decreasing the number of objects discarded in landfills by humans has a positive impact on the environment & a light bulb is a kind of object,decreasing the number of light bulbs discarded in landfills by humans has a positive impact on the environment
"as the time a lightbulb lasts increases, the number of lightbulbs discarded will decrease & decreasing the number of light bulbs discarded in landfills by humans has a positive impact on the environment",increasing the time that a lightbulb lasts has a positive impact on the environment by decreasing the number of light bulbs discarded in landfills
if an object is discarded in a landfill then that object is trash & a light bulb is a kind of object,if a light bulb is discarded in a landfill then that lightbulb is trash
increasing the time that a lightbulb lasts has a positive impact on the environment by decreasing the number of light bulbs discarded in landfills & if a light bulb is discarded in a landfill then that lightbulb is trash,increasing the time that a lightbulb lasts has a positive impact on the environment by decreasing the amount of trash discarded in landfills
increasing the time that a lightbulb lasts has a positive impact on the environment by decreasing the amount of trash discarded in landfills & something that has a positive impact on something else is a kind of benefit,a benefit of increasing the time that a lightbulb lasts is  decrease in the amount of trash discarded in landfills
"as a system / device grows old , the amount of energy will used by the system / device will increase & energy is used for heating a building by a heating system","as a heating system grows old, the amount of energy used by that heating system will increase"
"as a heating system grows old, the amount of energy used by that heating system will increase & old is the opposite of new",if a heating system is newer then the amount of energy used by that heating system will decrease
something positive is desirable & using less of a resource has a positive impact on the resource,using less of a resource has a desirable impact on the resource
using less of a resource has a desirable impact on the resource & an impact is a kind of result,using less of a resource is a kind of desirable result for that resource
using less of a resource is a kind of desirable result for that resource & to use less of something means decreasing the use of something,decreasing the use of a resource is a kind of desirable result for that resource
decreasing the use of a resource is a kind of desirable result for that resource & energy is a kind of resource,decreasing the use of energy is a kind of desirable result for an energy resource
if a heating system is newer then the amount of energy used by that heating system will decrease & decreasing the use of energy is a kind of desirable result for an energy resource & a heating system is a kind of energy resource,a desirable result of a new heating system is decreasing the amount of energy used
recyclable means a material can be recycled / reused many times & aluminum is recyclable,aluminum can be recycled
heat means temperature increase & the greenhouse effect is when carbon in the air heats a planet 's atmosphere,carbon in the air causes the temperature of a planet's atmosphere to increase
"carbon in the air causes the temperature of a planet's atmosphere to increase & if something causes something else to increase, then increasing that something will cause that something else to increase","as the amount of carbon in the air increases, the temperature of the planet's atmosphere will increase"
"as the amount of carbon in the air increases, the temperature of the planet's atmosphere will increase & the atmosphere is made of air","as the amount of carbon in the atmosphere increases, the temperature of the planet's atmosphere will increase"
"as the amount of carbon in the atmosphere increases, the temperature of the planet's atmosphere will increase & carbon dioxide contains carbon","as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet / the atmosphere will increase"
"as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet / the atmosphere will increase & warmer means greater / higher in temperature / warmth","as the amount of carbon in the atmosphere increases, the temperature of the planet's atmosphere will become warmer"
climate is the usual kind of weather in a location over a period of time & temperature is a property of weather,temperature is a property of climate
"as the amount of carbon in the atmosphere increases, the temperature of the planet's atmosphere will become warmer & temperature is a property of climate","as the amount of carbon in the atmosphere increases, the planet's climate will become warmer"
the greenhouse effect is when carbon in the air heats a planet 's atmosphere & heat means increase in temperature,carbon in the air causes the temperature of the planet's atmosphere to increase
carbon in the air causes the temperature of the planet's atmosphere to increase & if something causes something else to increase then increasing that something will cause that something else to increase,"as the amount of carbon in the air increases, the temperature of the planet's atmosphere will increase"
"as the amount of carbon in the air increases, the temperature of the planet's atmosphere will increase & the atmosphere is made of air","as the amount of carbon in the atmosphere increases, the temperature of the planet's atmosphere will increase"
"as the amount of carbon in the atmosphere increases, the temperature of the planet's atmosphere will increase & carbon dioxide contains carbon","as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet / the atmosphere will increase"
"as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet / the atmosphere will increase & warmer means greater / higher in temperature / warmth","as the amount of carbon dioxide in the air increases, the temperature of the planet's atmosphere will become warmer"
temperature is a property of weather & climate is the usual kind of weather in a location over a period of time,temperature is a property of climate
"as the amount of carbon dioxide in the air increases, the temperature of the planet's atmosphere will become warmer & temperature is a property of climate","as the amount of carbon in the atmosphere increases, the planet's climate will become warmer"
if the atmospheric temperature rises then the glaciers will melt & the atmosphere is the air around the entire planet,if the temperature of the air around the entire planet rises then the glaciers will melt
global warming is when worldwide temperature increases & worldwide refers to something that covers the entire planet,global warming is when the temperature of the entire planet increases
if the temperature of the air around the entire planet rises then the glaciers will melt & global warming is when the temperature of the entire planet increases,global warming causes glaciers to melt
global warming causes glaciers to melt & amount of water in a body of water increases by storms / rain / glaciers melting / snow melting / ice melting,global warming causes the amount of water in bodies of water to increase
"global warming causes the amount of water in bodies of water to increase & as the amount of water in a body of water increases , the water levels will rise / increase especially at the edge of that body of water",global warming causes water levels to rise
"a shore is the land found at the edge of a body of water & as the level of water rises , the amount of available land will decrease","as the level of water rises, the amount of available shore land will decrease"
"global warming causes water levels to rise & as the level of water rises, the amount of available shore land will decrease",global warming causes the amount of available shore land to decrease
global warming causes the amount of available shore land to decrease & loss of something means a decrease of something,global warming causes loss of shore land
oil is a source of gasoline & oil is a kind of fossil fuel,gasoline is kind of fossil fuel
gasoline is kind of fossil fuel & gases released during the use of fossil fuels causes global warming,gasses released during the use of gasoline causes global warming
"amount of water in a body of water increases by ice caps melting & as the amount of water in a body of water increases , the water levels will rise / increase especially at the edge of that body of water",ice caps melting causes the water levels of bodies of water to rise
ice caps melting causes the water levels of bodies of water to rise & an ocean is a kind of body of water,ice caps melting causes ocean water levels to rise
a wooded area is a kind of forest & a forest is a kind of environment,a wooded area is a kind of environment
a wooded area is a kind of environment & humans changing an environment sometimes causes that environment to be destroyed,humans changing a wooded area causes that wooded area to be destroyed
humans changing a wooded area causes that wooded area to be destroyed & clearing an area is a kind of method for changing an area,clearing a wooded area causes that wooded area to be destroyed
an animal requires a habitat for survival & a tree is a kind of habitat,a tree is a kind of animal habitat
a tree is a kind of animal habitat & a wooded area contains lots of trees,a wooded area contains lots of animal habitats
clearing a wooded area causes that wooded area to be destroyed & a wooded area contains lots of animal habitats,clearing a wooded area causes animal habitats to be destroyed
cutting down trees in a forest causes the number of trees to decrease in that forest & a tree is a source of shelter / food for birds / animals in an ecosystem,cutting down trees in a forest causes the shelter for birds in that forest to decrease
cutting down trees in a forest causes the number of trees to decrease in that forest & a tree is a kind of habitat,cutting down trees in a forest causes the number of habitat to decrease
cutting down trees in a forest causes the number of habitat to decrease & an animal requires a habitat for survival,cutting down trees in a forest causes the number of habitat required by animals for survival to decrease
a beach is a kind of environment & humans moving in an environment usually causes native species to lose their habitats,humans moving to beach usually causes native species to lose their habitats
humans moving to beach usually causes native species to lose their habitats & sea turtle is a native species to the beach,humans moving to beach usually causes sea turtles to lose their habitats
an animal requires a habitat for survival & a sea turtle is a kind of animal,a sea turtle requires a habitat for survival
humans moving to beach usually causes sea turtles to lose their habitats & a sea turtle requires a habitat for survival,humans moving to beach causes sea tutles to lose habitats required by the sea turtles to survive
"a sea turtle is a kind of animal & if animals lose the thing they require to survive, their population will decrease","if sea turtles lose the thing they require to survive, their population will decrease"
"humans moving to beach causes sea tutles to lose habitats required by the sea turtles to survive & if sea turtles lose the thing they require to survive, their population will decrease",humans moving to beach causes the population of sea turtles to decrease through habitats loss
humans changing ecosystems usually has a negative impact on an ecosystem / organisms living in an ecosystem & humans building homes in an ecosystem causes that ecosystem to change,humans building homes in an ecosystem has a negative impact on an ecosystem and organisms living in the ecosystem
humans building homes in an ecosystem has a negative impact on an ecosystem and organisms living in the ecosystem & a wetland is a kind of ecosystem,humans building homes in a wetland has a negative impact on a wetland and organisms living in the wetland
"building housing developments usually requires replacing animal habitats & if the habitat of an animal is replaced, then that animal will not be found in that place",building housing developments will cause the animal lives in that habitat no longer to be found
a snowshoe hare is a kind of animal & snowshoe hare lives in the field,snowshoe hare is a kind of animal lives in the field
building housing developments will cause the animal lives in that habitat no longer to be found & snowshoe hare is a kind of animal lives in the field & housing developments are build in a field,building house developments causes the snowshoe hare no longer to be found in the field
pesticides can cause pollution & fertilizers are a source of pollution,pesticides and fertilizers are source of pollution
electric cars use electricity as the main energy source & regular cars use gasoline as an energy source & electricity causes less pollution than gasoline,electric cars will cause less pollution than regular cars
a pollutions standard is a kind of standard for reducing pollutants emitted by vehicles & many vehicles emit pollution into the air,a pollution standard can help reduce pollutants emitted by vehicles
a pollution standard can help reduce pollutants emitted by vehicles & a vehicle inspection is when a person examines a vehicle for pollution standards,the insepction of vehicles to meet pollution standards can help reduce pollutants emitted by vehicles
"as the use of public transportation increases , the use of automobiles decreases & bus is a kind of public transportation","as the use of buses increases, the use of automobiles decreases"
"as the use of buses increases, the use of automobiles decreases & the use of automobiles causes pollution to the environment","as the use of buses increases, the pollution caused by using automobiles will decrease"
coal is a kind of fossil fuel & oil is a kind of fossil fuel & burning fossil fuels releases sulfur dioxide into the atmosphere,burning coal and oil releases sulfur dioxide into the atmosphere
burning coal and oil releases sulfur dioxide into the atmosphere & sulfur dioxide is a kind of gas & sulfur dioxide dissolving in water causes acid rain,gases from burning coal and oil dissolving in water in the atmosphere causes acid rain
gas-efficient engines uses less gasoline & using gasoline requires burning gasoline,gas-efficient engines will burn less gasoline
gas-efficient engines will burn less gasoline & burning gasoline is a source of air pollution,gas-efficient engines will cause less air pollution
gas-efficient engines will cause less air pollution & an engine is a part of an automobile,using a gas-efficient engine in automobiles will cause less air pollution
emitting sulfur dioxide causes acid rain & sulfur scrubbers can reduce the emission of sulfur dioxide,sulfur scrubbers can reduce the cause of acid rain
humans discarding waste in an environment causes harm to that environment & discarding is similar to throwing & garbage means waste,humans throwing garbage in an environment causes harm to that environment
a body of water is a kind of environment & a stream is a kind of moving body of water,a stream is a kind of environment
humans throwing garbage in an environment causes harm to that environment & a stream is a kind of environment,humans throwing garbage into a stream causes harm to the stream
a frog is a kind of aquatic animal & a mountain chorus frog is a kind of frog,a mountain chorus frog is a kind of aquatic animal
a mountain chorus frog is a kind of aquatic animal & bodies of water are the habitats for aquatic animals,bodies of water are the habitats for mountain chorus frogs
bodies of water are the habitats for mountain chorus frogs & a mountain chorus frog is a kind of animal & pollutions in animals habitat can cause the population of animals to decrease,water pollution in bodies of water can cause the population of mountain chorus frogs to decrease
water pollution in bodies of water can cause the population of mountain chorus frogs to decrease & polluting means something poisonous is added to an environment & a body of water is a kind of environment,poisonous things added in water can cause the population of mountain chorus frogs to decrease
oil is a kind of pollutant & water pollution is when humans pollute the environment with pollutants,an example of water pollution is when humans pollute the environment with oil
an example of water pollution is when humans pollute the environment with oil & offshore oil platforms might cause oil to leak into the water & water is a part of an environment,offshore oil platforms might cause water pollution by leaking oil into the water
"a lawn is a piece of land covered with grass & lori uses fertilizer on her lawn & if fertilizer is used on a land, then the runoff from that land will contain fertilizer",the runoff from the lawn will contain fertilizer
the runoff from the lawn will contain fertilizer & a lake is a kind of body of water & runoff flows across land and ends in bodies of water,the runoff from the lawn containing fertilizer can flow and end in the lake
a lake is a kind of body of water & algae is found in bodies of water,algae can be found in lake
the runoff from the lawn containing fertilizer can flow and end in the lake & algae can be found in lake & fertilizers have a positive impact on algae growth,the population of algae in the lake will increase because of the fertilizer in the runoff
phytoplankton is a kind of plant & phytoplanktons are found in bodies of water & an ocean is a kind of body of water,phytoplanktons are plants that can be found in the ocean
algae is found in bodies of water & algae is a kind of plant & an ocean is a kind of body of water,algae is a plant that can be found in the ocean
phytoplanktons are plants that can be found in the ocean & algae is a plant that can be found in the ocean,phytoplanktons and algae are plants that can be found in the ocean
phytoplanktons and algae are plants that can be found in the ocean & plants are a source of oxygen through photosynthesis,phytoplanktons and algae are source of oxygen in the ocean
phytoplanktons and algae are source of oxygen in the ocean & ocean pollution can decrease the number of phytoplanktons and algae,ocean pollution can decrease the source of oxygen in the ocean
"ocean pollution can decrease the source of oxygen in the ocean & as the amount of a source of something decreases , the amount of that something will decrease",ocean pollution can cause the amount of oxygen to decrease in the ocean
"tuna eat fish & if an animal eats other animals for food , then the animal is the predator",tuna is a kind of predator
tuna is a kind of predator & tuna is a kind of fish,tuna is a kind of predatory fish
tuna is a kind of predatory fish & commercial harvesting from the ocean has caused populations of large predatory fish to decrease,commercial harvesting from the ocean has caused the populations of tuna to decrease
a rhinoceros is a kind of animal & overhunting decreases animal populations,overhunting can decrease rhinoceros populations
overhunting can decrease rhinoceros populations & decreasing in population will cause the population to be low & endangered means low in population,overhunting can cause the rhinoceros to be endangered
killing a living thing decreases the population of that living thing & hunting is when a human kills an animal for food / recreation in the wild & an animal is a kind of living thing,hunting / overhunting decreases animal populations
hunting / overhunting decreases animal populations & an animal is a kind of organism & if a population decreases to zero then that organism is extinct,"if hunting decreases the animal population to zero, then that animal is extinct"
an organism becoming extinct causes a change in the organism 's food web & a change in a food web can cause damage to an ecosystem,extinctions of organisms can cause damage to an ecosystem by changing the food web
aluminum is recyclable & recyclable means a material can be recycled / reused many times,aluminum can be recycled
aluminum can be recycled & recycling decreases the amount of waste sent to landfills,recycling aluminum can decrease the amount of waste sent to landfills
aluminum cans are made of aluminum & aluminum is recyclable,aluminum cans are recyclable
aluminum cans are recyclable & recyclable means a material can be recycled / reused many times,aluminum cans can be recyled many times
aluminum cans can be recyled many times & an aluminum can is a kind of object & an example of recycling is using an object to make a new object,using aluminum cans to make a new object is an example of recycling
aluminum is recyclable & an aluminum can is made of aluminum,an aluminum can is recyclable
metal is a kind of natural resource & aluminum is a kind of metal,aluminum is a kind of natural resource
aluminum is a kind of natural resource & aluminum cans are made of aluminum,aluminum cans are made of a natural resource
aluminum cans are made of a natural resource & recycling resources has a positive impact on the conservation of those resources,recycling aluminum cans has a positive impact on the conservation of those resources
trash is similar to waste & recycling decreases the amount of waste sent to landfills,recycling decreases the amount of trash sent to landfills
aluminum is a kind of material & aluminum is recyclable,aluminum is a kind of material that is recyclable
aluminum is a kind of material that is recyclable & recyclable means a material can be recycled many times,aluminum can be recycled many times
aluminum can be recycled many times & aluminum is a nonrenewable resource,aluminum is a nonrenewable resource that can be recycled many times
aluminum is a nonrenewable resource that can be recycled many times & recycling nonrenewable resources has a positive impact on the environment,recycling aluminum has a positive impact on the environment
recycling aluminum has a positive impact on the environment & recycling is a kind of method of disposal,recycling aluminum is the best way to dispose aluminum
cardboard is inexpensive in cost & cardboard is recyclable & cardboard is a kind of material & cardboard is biodegradable,"cardboard is a material that is recyclable, biodegradable, and inexpensive in cost"
the inner core is located in the center of the earth & the pressure at the center of the earth is extremely high,the inner core of the earth is under extremely high pressure
the inner core of the earth is under extremely high pressure & extreme high pressure causes the inner core of earth to be in solid state,the inner core of earth is solid
the oceanic crust mainly is made of basalt & the continental crust mainly is made of granite & basalt is more dense than granite,the oceanic crust is more dense than the continental crust
the mantle is the largest layer of the earth & the mantle is located between the crust and the outer core,the mantle is the largest layer of the earth located between the crust and the outer core
earthquakes causes older rock to be on top of younger rock & earthquakes cause rock layers to fold on top of each other,earthquakes causes older rock layers to be on top of younger rock layers by folding the rock layers
the mantle of the earth is mainly made of silicate & the crust of the earth is made of basalt or granite,the mantle of the earth is mainly made of silicate and the crust of the earth is made of basalt or ganite
basalt is a kind of material & granite is a kind of material & silicate is a kind of material,"silicate, basalt, and granite are kinds of materials"
"the mantle of the earth is mainly made of silicate and the crust of the earth is made of basalt or ganite & silicate, basalt, and granite are kinds of materials & different media are made of different materials",the mantle and the crust are different media
the mantle and the crust are different media & waves travel at different speed in different medium,waves will travel at different speed in the mantle and the crust
waves will travel at different speed in the mantle and the crust & an earthquake wave is a kind of wave,earthquake waves will travel at different speed in the mantle and the crust
active volcanoes are most common along tectonic plate boundaries & earthquakes are most common along tectonic plate boundaries,active volcanoes and earthquakes are most common along tectonic plate boundaries
california is located on the boundary of two tectonic plates & earthquakes are most common along tectonic plate boundaries & massachusetts is not located on the boundary of two tectonic plates,earthquakes are more likely to occur in california than in massachusetts
all waves transmit energy from one place to another & an earthquake wave is a kind of wave,earthquake waves transmit energy from one place to another
mountains are formed by plate tectonics & the appalachian mountains are a kind of mountain,the appalachian mountains are formed by plate tectonics
the collision of tectonic plates are found at the convergent boundaries & the collision of the boundaries causes rocks to fold,the collision of the tectonic plates causes rocks to fold at the convergent boundaries
the collision of the tectonic plates causes rocks to fold at the convergent boundaries & a mountain range is formed by rocks folding upon one another,mountains will form at the convergent boundaries by the collision of the tectonic plates
mountains will form at the convergent boundaries by the collision of the tectonic plates & the appalachian mountains are a kind of mountain,the appalanchian mountains are formed at the convergent boundaries by the collision of the tectonice plates
a volcanic eruption is a kind of quick process & new land can be formed by volcanoes erupting by lava cooling,volcano eruption can quickly form a new land when lava cools down
the subduction of tectonic plates may cause magma to surface from underneath & the oceanic plate is a kind of tectonic plate,the subduction of an oceanic plate may cause magma to surface from underneath
the subduction of an oceanic plate may cause magma to surface from underneath & magma cools down when it comes to the surface from underneath,the subduction of an oceanic plate will cause magma to surface and cool down
the subduction of an oceanic plate will cause magma to surface and cool down & magma cooling can form volcanic mountains,the subduction of an oceanic plate can form volcanic mountians
volcanic ash in the atmosphere decreases the temperature by blocking the sun & emitting sulfur dioxide causes acid rain & an erupting volcano releases sulfur gas and ash into the atmosphere,a volcanic eruption can cause acid rain and decrease the temperature
a volcanic eruption can cause acid rain and decrease the temperature & europe was unusally cold and had acid rain in 1783,a volcanic eruption may have happened to cause the cold weather and acid rain in europe
the amount of sunlight usually is the same at the locations with same latitude & the intensity of sunlight is a kind of seasonal weather pattern,locations with same latitude has the same seasonal weather pattern of sunlight intensity
nitrogen is a kind of gas & most means over 50% of something & the earth 's atmosphere is made of 78 percent nitrogen by mass,nitrogen gas makes up most of the earth's atmosphere
the earth 's atmosphere is made of 21 percent oxygen by volume & the earth 's atmosphere is made of 78 percent nitrogen by volume,nitrogen and oxygen make up 99% of the earth's atmosphere by volume
nitrogen and oxygen make up 99% of the earth's atmosphere by volume & most means over 50% of something,nitrogen and oxygen make up most of the earth's atmosphere
the earth 's atmosphere is made of 78 percent nitrogen by volume & the earth's atmosphere is made of 04% to 1% of water vapor by volume & the earth 's atmosphere is made of 21 percent oxygen by volume & the earth 's atmosphere is made of 036 percent carbon dioxide by volume,"earth's atmosphere is made of nitrogen, oxygen, water vapor, and carbon dioxide"
"as altitude increases , the temperature of the air will decrease in the troposphere & an increase is the opposite of a decrease & as the altitude increases , the temperature of the air will increase in the stratosphere","as the altitude increases, the change of air temperature are opposite in stratosphere and troposphere"
